Time resolution is 1 ps
Memory @ 0x200 = 60
Memory @ 0x201 = 1c
Time=2030000 | PC=214 | State= 3 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=215 | mem_data_in = xx | mem_data_out = 8a | mem_read = 1 | mem_write = 0
Time=2050000 | PC=214 | State= 4 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=215 | mem_data_in = xx | mem_data_out = b4 | mem_read = 0 | mem_write = 0
Time=2070000 | PC=214 | State= 6 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=215 | mem_data_in = xx | mem_data_out = b4 | mem_read = 0 | mem_write = 0
Time=2090000 | PC=214 | State= 5 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=215 | mem_data_in = xx | mem_data_out = b4 | mem_read = 0 | mem_write = 0
Time=2110000 | PC=216 | State= 0 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=215 | mem_data_in = xx | mem_data_out = b4 | mem_read = 0 | mem_write = 0
Time=2130000 | PC=216 | State= 1 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=216 | mem_data_in = xx | mem_data_out = b4 | mem_read = 1 | mem_write = 0
Time=2150000 | PC=216 | State= 2 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=216 | mem_data_in = xx | mem_data_out = 12 | mem_read = 0 | mem_write = 0
Time=2170000 | PC=216 | State= 3 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = 12 | mem_read = 1 | mem_write = 0
Time=2190000 | PC=216 | State= 4 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = 16 | mem_read = 0 | mem_write = 0
Time=2210000 | PC=216 | State= 6 | Opcode=8ab4 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = 16 | mem_read = 0 | mem_write = 0
Time=2230000 | PC=216 | State= 5 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = 16 | mem_read = 0 | mem_write = 0
Time=2250000 | PC=216 | State= 0 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = 16 | mem_read = 0 | mem_write = 0
Time=2270000 | PC=216 | State= 1 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=216 | mem_data_in = xx | mem_data_out = 16 | mem_read = 1 | mem_write = 0
Time=2290000 | PC=216 | State= 2 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=216 | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=2310000 | PC=216 | State= 3 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = xx | mem_read = 1 | mem_write = 0
Time=2330000 | PC=216 | State= 4 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=2350000 | PC=216 | State= 6 | Opcode=1216 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=2370000 | PC=216 | State= 5 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=2390000 | PC=218 | State= 0 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=217 | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=2410000 | PC=218 | State= 1 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=218 | mem_data_in = xx | mem_data_out = xx | mem_read = 1 | mem_write = 0
Time=2430000 | PC=218 | State= 2 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=218 | mem_data_in = xx | mem_data_out = a4 | mem_read = 0 | mem_write = 0
Time=2450000 | PC=218 | State= 3 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=219 | mem_data_in = xx | mem_data_out = a4 | mem_read = 1 | mem_write = 0
Time=2470000 | PC=218 | State= 4 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=219 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=2490000 | PC=218 | State= 6 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=219 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=2510000 | PC=218 | State= 5 | Opcode=a400 | I_reg=305 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=219 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=2530000 | PC=21a | State= 0 | Opcode=a400 | I_reg=400 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=219 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=2550000 | PC=21a | State= 1 | Opcode=a400 | I_reg=400 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=21a | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=2570000 | PC=21a | State= 2 | Opcode=a400 | I_reg=400 | V0=1c V1=0a VA=0c VB=07 | mem_addr_out=21a | mem_data_in = xx | mem_data_out = 60 | mem_read = 0 | mem_write = 0
